57,Haiti,HTI,10981229,0.585,0.492813352,63.119,5.179501441,1656.943154,9.1,0.248
58,South Korea,KOR,50982212,0.125,0.90099213,82.128,12.17921107,34540.64927,16.58752,NULL
59,South Sudan,SSD,12575714,0.506,0.41830334,56.134,4.84913,1882.498799,4.87162,0.557
60,Venezuela,VEN,31977065,0.197,0.766716417,74.387,9.39779,15128.64103,14.3,NULL
61,Guinea,GIN,12717176,0.47,0.414186306,59.215,2.568481492,1058.219876,8.81527,0.459
62,Morocco,MAR,35739580,0.15,0.647401854,74.31,5.037844226,7194.916461,12.05494,0.067
63,Sierra Leone,SLE,7557212,0.702,0.42031226,51.317,3.332,1529.176083,9.468868,0.464
64,Thailand,THA,69037513,0.072,0.739793865,74.616,7.91195,14518.64304,13.57496,NULL
65,Rwanda,RWA,12208407,0.391,0.497577295,64.749,3.801335247,1616.85733,10.76172,0.259
66,Uzbekistan,UZB,31910641,0.14,0.700668399,69.4,12.048045,5748.226043,12.16651,0.008
67,Romania,ROU,19679306,0.224,0.802381714,74.837,10.79977,19427.60925,14.73498,NULL
68,Togo,TGO,7797694,0.551,0.487358896,60.175,4.698788565,1262.17409,11.96578,0.252
69,Bolivia,BOL,11051600,0.386,0.674074431,68.743,8.19974,6154.887574,13.787416,0.089
70,Ecuador,ECU,16624858,0.256,0.739298832,76.121,8.27,10536.15525,14.02404,0.013
71,Benin,BEN,11175692,0.362,0.485096406,59.76,3.51,1979.250627,10.686,0.307
72,Greece,GRC,11159773,0.36,0.865873096,81.071,10.53946,24807.53589,17.21752,NULL
73,Canada,CAN,36624199,0.094,0.920284414,82.224,13.10511486,42581.91433,16.325,NULL
74,Dominican Republic,DOM,10766998,0.305,0.721686316,73.65,7.6789,12756.40123,13.16925,0.034
75,Papua New Guinea,PNG,8251162,0.37,0.516168319,62.769,4.328,2711.765948,9.8997375,NULL
76,Cambodia,KHM,16005373,0.177,0.563082194,68.807,4.669575,3095.317595,10.90489,0.146
77,Tajikistan,TJK,8921343,0.315,0.627472084,69.582,10.35582,2600.585607,11.26186,0.054
78,Honduras,HND,9265067,0.296,0.624731633,73.334,6.16954,4466.341808,11.2375,0.072
79,Chile,CHL,18054726,0.144,0.846625951,81.956,9.8965,21665.45797,16.3356,NULL
80,Liberia,LBR,4731906,0.541,0.426898502,61.188,4.442,682.5904279,9.903696,0.374
81,Eritrea,ERI,5068831,0.5,0.420153487,64.186,3.859551,1489.850738,4.99466,NULL
82,Congo,COG,5260750,0.465,0.592284049,62.892,6.313384345,5502.559087,11.14742,0.181
83,El Salvador,SLV,6377853,0.349,0.679776519,73.271,6.532387508,7732.025398,13.16993,0.026
84,Libya,LBY,6374616,0.33,0.71644267,71.763,7.31,14303.10953,13.4025,NULL
85,Portugal,PRT,10329506,0.19,0.842658098,81.183,8.88247,26103.62927,16.56576,NULL
86,Kyrgyzstan,KGZ,6045117,0.321,0.663631066,70.791,10.80226247,3096.796097,13.00323,NULL
87,Nicaragua,NIC,6217581,0.296,0.645202505,75.212,6.544,4746.699464,11.67,0.072
88,United Arab Emirates,ARE,9400145,0.195,0.839799159,77.119,9.5,66203.29979,13.33,NULL
89,Israel,ISR,8321570,0.22,0.898885927,82.561,12.76185,31214.7148,15.99801,NULL
90,Tunisia,TUN,11532127,0.155,0.724559572,74.982,7.089225505,10248.57789,14.64156,NULL
91,Lebanon,LBN,6082357,0.286,0.76284118,79.537,8.605452453,13311.57619,13.28786,NULL
92,Belgium,BEL,11429336,0.151,0.895514145,80.984,11.38096,41243.31382,16.63527,NULL
93,Bulgaria,BGR,7084571,0.22,0.793641565,74.322,10.79879781,16261.26026,15.04037,NULL
94,Paraguay,PRY,6811297,0.222,0.692965557,73.004,8.1351,8181.693782,12.31843,NULL
95,Laos,LAO,6858160,0.22,0.586044801,66.598,5.193853631,5048.558074,10.82941,0.174
96,Netherlands,NLD,17035938,0.088,0.924312171,81.706,11.91407,46325.57658,18.11654,NULL
97,Sweden,SWE,9910701,0.15,0.912706101,82.347,12.2737,46250.79382,16.05545884,NULL
98,Hungary,HUN,9721559,0.149,0.836211493,75.313,12.02,23394.32423,15.59518,NULL
99,Hong Kong,HKG,7364883,0.196,0.917157319,84.163,11.59066599,54264.91478,15.67329,NULL
100,Sri Lanka,LKA,20876917,0.067,0.766438081,75.049,10.91508197,10788.90853,13.96716,NULL
101,Jordan,JOR,9702353,0.142,0.741498511,74.175,10.098,10111.33377,13.135925,0.006
102,Mauritania,MRT,4420184,0.31,0.513106014,63.239,4.266,3527.264154,8.46379,0.285
103,Lesotho,LSO,2233339,0.57,0.497367956,50.08,6.126,3318.773796,10.74118,0.14
104,Guinea-Bissau,GNB,1861283,0.67,0.423839923,55.486,2.917138913,1369.460824,9.2,0.371
105,Malaysia,MYS,31624264,0.038,0.789449738,74.901,10.11094944,24619.6547,13.07991,NULL
106,Costa Rica,CRI,4905769,0.217,0.776452943,79.613,8.70746,14006.35509,14.16446402,NULL
107,Czech Republic,CZE,10618303,0.097,0.877841924,78.775,12.33225,28143.97758,16.81404,NULL
108,Gambia,GMB,2100568,0.484,0.451574501,60.463,3.292,1540.829529,8.94,0.323
109,Panama,PAN,4098587,0.23,0.78765622,77.755,9.854,19470.2025,13.038995,NULL
